cell	scenario	replicate	seed	target_rho	reference_rho	analysis_samples	reference_samples	blocks	variants_per_block	binary_sha256	realized_causal_pair_ld	factor_nA	factor_nB	factor_cross_set_max_r2	factor_beta1	factor_beta2	factor_conjunction_p	factor_min_log_BF	factor_log_e_mediation	factor_log_BF_heterogeneity_MY	regional_PP_shared	regional_PP_distinct	regional_independent_shared_signals	mediation_identifiability	factor_two_stage_status	factor_mediation_status	factor_frequentist_status	factor_ebh_status
mismatch_high_to_moderate	same_variant_pleiotropy	73	22460977	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	nan	0.744042	0.592299	0.950742	-1.4988	-1.9616	0.974397	0.001278	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	74	22460978	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.553354	nan	0.131775	1.474836	-0.152163	-0.808175	0.994843	0.003145	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	75	22460979	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	0.553251	nan	0.569907	1.778163	-1.470595	-0.692462	0.998493	0.000889	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	76	22460980	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	7.0	0.0	0.744737	nan	0.393039	2.306467	-1.150645	-1.319295	0.985765	0.009088	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	77	22460981	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	9.0	0.0	0.664027	0.542625	0.272838	1.944745	-0.778663	-2.583104	0.92969	0.002248	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	78	22460982	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.675255	0.439589	0.479113	1.741195	-1.330875	-1.988177	0.031088	0.69259	0.0	LD_CONFIGURATION_AMBIGUOUS	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	79	22460983	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	7.0	0.0	0.86249	0.686579	0.054073	2.879597	0.789213	-1.337029	0.999915	3.9e-05	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	TWO_STAGE_EVIDENCE	SUPPORTED_EXCLUSION_RESTRICTION_CONDITIONAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	80	22460984	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	0.726135	0.570027	0.105613	3.073797	0.246002	-1.568342	0.985456	0.008812	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	81	22460985	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	nan	0.653628	0.240481	2.509657	-0.642485	-1.393373	0.998317	0.000328	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	82	22460986	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	7.0	0.0	nan	0.589851	0.291197	0.759318	-0.847773	-2.025991	0.96495	0.025738	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
