cell	method	threshold	replicates	mean_selected	mean_true_positive	mean_false_positive	mean_fdp	se_mean_fdp	q95_fdp	fdp_above_target_rate	pooled_fdp	mean_power	replicates_with_calls
least_favorable_null	balanced_AdaFilter	0.05	200	0.075	0	0.075	0.06	0.016835	1	0.06	1	0	12
least_favorable_null	balanced_AdaFilter	0.1	200	0.14	0	0.14	0.1	0.0212664	1	0.1	1	0	20
least_favorable_null	balanced_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	balanced_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	balanced_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	balanced_p2e_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	bayesian_FDR	0.1	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	balanced_AdaFilter	0.01	200	6.77	6.74	0.03	0.0090625	0.00535189	0	0.03	0.00443131	0.131951	178
narrow_balanced	balanced_AdaFilter	0.05	200	35.645	34.195	1.45	0.0399273	0.00238785	0.102067	0.37	0.0406789	0.675461	200
narrow_balanced	balanced_AdaFilter	0.1	200	47.635	43.845	3.79	0.0781153	0.00292901	0.146341	0.325	0.0795633	0.870073	200
narrow_balanced	balanced_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	balanced_BY	0.05	200	0.18	0.18	0	0	0	0	0	0	0.00375786	24
narrow_balanced	balanced_BY	0.1	200	2.495	2.495	0	0	0	0	0	0	0.0485922	92
narrow_balanced	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	balanced_p2e_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	bayesian_FDR	0.1	200	0.01	0.01	0	0	0	0	0	0	0.000172666	2
narrow_balanced	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
narrow_balanced	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	balanced_AdaFilter	0.01	200	0.36	0.36	0	0	0	0	0	0	0.0728313	51
rare_mediation	balanced_AdaFilter	0.05	200	1.455	1.385	0.07	0.0224762	0.00720677	0.2	0.065	0.04811	0.253254	110
rare_mediation	balanced_AdaFilter	0.1	200	2.575	2.245	0.33	0.0692321	0.0107986	0.4	0.21	0.128155	0.418242	151
rare_mediation	balanced_BY	0.01	200	0.005	0.005	0	0	0	0	0	0	0.000833333	1
rare_mediation	balanced_BY	0.05	200	0.075	0.075	0	0	0	0	0	0	0.0138214	14
rare_mediation	balanced_BY	0.1	200	0.135	0.135	0	0	0	0	0	0	0.028119	26
rare_mediation	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	balanced_p2e_eBH	0.1	200	0.005	0.005	0	0	0	0	0	0	0.000833333	1
rare_mediation	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	bayesian_FDR	0.1	200	0.005	0.005	0	0	0	0	0	0	0.00166667	1
rare_mediation	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
rare_mediation	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	adaptive_eBH	0.01	200	0.01	0	0.01	0.01	0.00705328	0	0.01	1	0	2
sparse_outliers	adaptive_eBH	0.05	200	0.015	0	0.015	0.015	0.00861663	0	0.015	1	0	3
sparse_outliers	adaptive_eBH	0.1	200	0.025	0.005	0.02	0.02	0.00992434	0	0.02	0.8	0.000102041	5
sparse_outliers	balanced_AdaFilter	0.01	200	1.405	1.39	0.015	0.00416667	0.00248881	0	0.015	0.0106762	0.0275253	106
sparse_outliers	balanced_AdaFilter	0.05	200	9.735	9.505	0.23	0.020661	0.00326015	0.125	0.19	0.0236261	0.188233	192
sparse_outliers	balanced_AdaFilter	0.1	200	19.61	18.675	0.935	0.0423338	0.00322318	0.120061	0.095	0.0476798	0.369451	200
sparse_outliers	balanced_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	balanced_BY	0.05	200	0.015	0.015	0	0	0	0	0	0	0.000320901	3
sparse_outliers	balanced_BY	0.1	200	0.245	0.245	0	0	0	0	0	0	0.00481007	26
sparse_outliers	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	balanced_p2e_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	bayesian_FDR	0.1	200	0.01	0.01	0	0	0	0	0	0	0.00020979	2
sparse_outliers	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
sparse_outliers	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
