cell	method	threshold	true_scenario	replicates	total_proteins	selected_proteins	mean_replicate_selection_rate	pooled_selection_rate
aligned_proportional_boundary	directional_eBH	0.1	M1	200	49852	0	0	0
aligned_proportional_boundary	directional_eBH	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.1	M5	200	50148	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	M0	200	45109	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	M1	200	9852	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	M2	200	12058	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	M3	200	8022	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	M4	200	10993	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	M5	200	13966	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	M0	200	45109	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	M1	200	9852	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	M2	200	12058	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	M3	200	8022	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	M4	200	10993	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	M5	200	13966	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	M0	200	45109	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	M1	200	9852	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	M2	200	12058	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	M3	200	8022	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	M4	200	10993	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	M5	200	13966	1	7.8125e-05	7.16025e-05
balanced_heterogeneity	balanced_AdaFilter	0.01	M0	200	45109	0	0	0
